chinese,pinyin,english,thai
分相负载,fēn xiàng fù zài,Load by Phase,โหลดไฟฟ้าแยกตามเฟส
低压配电设备,dī yā pèi diàn shè bèi,Low-Voltage Distribution Equipment / Switchgear,อุปกรณ์จ่ายไฟแรงดันต่ำ (switchgear)
低压带电作业（1kV以下）,dī yā dài diàn zuò yè,Low-Voltage Live Work (Below 1kV),งานปฏิบัติกับไฟฟ้าแรงดันต่ำขณะมีไฟ (ต่ำกว่า 1kV)
低压配电系统,dī yā pèi diàn xì tǒng,Low-Voltage Power Distribution System,ระบบจ่ายไฟแรงดันต่ำ
主配电,zhǔ pèi diàn,Main Distribution,ระบบจ่ายไฟหลัก
最小续航阈值,zuì xiǎo xù háng yù zhí,Minimum Runtime Threshold,ค่าขั้นต่ำของระยะเวลาสำรองไฟที่ยอมรับได้
模块化系统,mó kuài huà xì tǒng,Modular System,ระบบแบบโมดูลาร์
多兆瓦级数据中心,duō zhào wǎ jí shù jù zhōng xīn,Multi-Megawatt Data Center,data center ระดับหลายเมกะวัตต์
国家电工进网许可证,guó jiā diàn gōng jìn wǎng xǔ kě zhèng,National Electrician Grid Access License,ใบอนุญาตช่างไฟฟ้าเข้าปฏิบัติงานในระบบสายส่งแห่งชาติ
零线,líng xiàn,Neutral Wire,สายนิวทรัล (neutral)
其他配电柜,qí tā pèi diàn guì,Other Distribution Cabinets,ตู้จ่ายไฟอื่นๆ
插座,chā zuò,Outlet Receptacle,เต้ารับไฟฟ้า (outlet)
输出配电,shū chū pèi diàn,Output Power Distribution,การจ่ายไฟขาออก
过载状况,guò zài zhuàng kuàng,Overload Condition,ภาวะโหลดเกิน (overload)
并联支路,bìng lián zhī lù,Parallel Branch (circuit),วงจรย่อยแบบขนาน (parallel)
PDU（电源分配单元）,PDU (diàn yuán fēn pèi dān yuán),PDU (Power Distribution Unit),PDU (หน่วยจ่ายไฟฟ้าประจำตู้ rack)
供配电,gōng pèi diàn,Power,ระบบไฟฟ้ากำลัง (power)
电能监控,diàn néng jiān kòng,Power / Energy Monitoring,การตรวจสอบพลังงานไฟฟ้า
电总（电信/电力总线协议）,diàn zǒng,Power / Telecom Bus Protocol,โปรโตคอล bus สำหรับไฟฟ้า/โทรคมนาคม
电力告警（Power）,diàn lì gào jǐng,Power Alarm,alarm ระบบไฟฟ้า
供电挑战,gōng diàn tiǎo zhàn,Power Challenges,ความท้าทายด้านไฟฟ้ากำลัง
耗电量,hào diàn liàng,Power Consumption,ปริมาณการใช้ไฟฟ้า
功率密度,gōng lǜ mì dù,Power Density,ความหนาแน่นของกำลังไฟฟ้า
配电,pèi diàn,Power Distribution,การจ่ายไฟฟ้า (power distribution)
动力配电箱,dòng lì pèi diàn xiāng,Power Distribution Box,ตู้จ่ายไฟกำลัง (power distribution box)
PDF - 电源分配柜/列头柜,diàn yuán fēn pèi guì / liè tóu guì,Power Distribution Frame (PDF),ตู้กระจายไฟฟ้า (PDF)
PDF（配电柜/精密配电柜）,PDF (pèi diàn guì),Power Distribution Frame / Cabinet (PDF),ตู้จ่ายไฟ PDF (Power Distribution Frame)
配电单元,pèi diàn dān yuán,Power Distribution Unit (PDU),ตู้จ่ายไฟ PDU
功率因数校正,gōng lǜ yīn shù jiào zhèng,Power Factor Correction,การปรับปรุงตัวประกอบกำลัง (power factor correction)
供配电基础设施,gōng pèi diàn jī chǔ shè shī,Power Infrastructure,โครงสร้างพื้นฐานด้านไฟฟ้ากำลัง
电力计量,diàn lì jì liàng,Power Metering,การวัดค่าพลังงานไฟฟ้า
购电协议,gòu diàn xié yì,Power Purchase Agreement (PPA),สัญญาซื้อขายไฟฟ้า (PPA)
电源插座条 (PDU),diàn yuán chā zuò tiáo,Power Strip,รางปลั๊กไฟในตู้ rack (power strip)
供电子系统,gōng diàn zǐ xì tǒng,Power Subsystem,ระบบย่อยด้านไฟฟ้ากำลัง
电源,diàn yuán,Power Supply,แหล่งจ่ายไฟ
供配电系统,gōng pèi diàn xì tǒng,Power Supply and Distribution System,ระบบจ่ายและกระจายไฟฟ้า
供电链路,gōng diàn liàn lù,Power Supply Link / Chain,สายทางจ่ายไฟฟ้า
供电系统,gōng diàn xì tǒng,Power Supply System,ระบบจ่ายไฟฟ้า
电源循环/重启,diàn yuán xún huán / chóng qǐ,Power-cycling,การปิดเปิดไฟใหม่ (power cycling)
一次绕组,yī cì rào zǔ,Primary Winding,ขดลวดปฐมภูมิ (primary winding)
保护地线,bǎo hù dì xiàn,Protective Earth (PE) Wire,สายกราวด์ป้องกัน (PE)
机柜电力基础设施,jī guì diàn lì jī chǔ shè shī,Rack Power Infrastructure,โครงสร้างพื้นฐานไฟฟ้าในตู้ rack
冗余,rǒng yú,Redundancy,ระบบสำรอง (redundancy)
继电保护装置,jì diàn bǎo hù zhuāng zhì,Relay Protection Device,อุปกรณ์ป้องกันแบบรีเลย์
重复接地,chóng fù jiē dì,Repeated (Supplementary) Grounding,การต่อกราวด์ซ้ำเพิ่มเติม
机房/机柜配电系统,jī fáng jī guì pèi diàn xì tǒng,Room / Rack Power Distribution System,ระบบจ่ายไฟห้อง/ตู้ rack
二次绕组,èr cì rào zǔ,Secondary Winding,ขดลวดทุติยภูมิ (secondary winding)
单线图,dān xiàn tú,Single Line Diagram,แผนผังไฟฟ้าแบบเส้นเดียว (single line diagram)
单相二极插座,dān xiāng èr jí chā zuò,Single-Phase 2-Pin Socket,ปลั๊กไฟเฟสเดียว 2 ขา
单相三极插座,dān xiāng sān jí chā zuò,Single-Phase 3-Pin Socket,ปลั๊กไฟเฟสเดียว 3 ขา
插座接线示意图（单相2/3孔，三相4孔）,chā zuò jiē xiàn shì yì tú,"Socket/Outlet Wiring Diagrams (single-phase 2/3-pin, three-phase 4-pin)","แผนภาพการเดินสายปลั๊กไฟ (เฟสเดียว 2/3 ขา, สามเฟส 4 ขา)"
国家电监会,guó jiā diàn jiān huì,State Electricity Regulatory Commission,คณะกรรมการกำกับกิจการไฟฟ้าแห่งชาติ (จีน)
静态转换开关,jìng tài zhuǎn huàn kāi guān,Static Transfer Switch,สวิตช์สลับไฟแบบสถิต (STS)
变电站,biàn diàn zhàn,Substation,สถานีไฟฟ้าย่อย
浪涌保护,làng yǒng bǎo hù,Surge Protection,การป้องกันไฟกระชาก (surge protection)
开关设备,kāi guān shè bèi,Switchgear,สวิตช์เกียร์ (switchgear)
开关室/配电室,kāi guān shì / pèi diàn shì,Switchgear Room,ห้องสวิตช์เกียร์/ห้องจ่ายไฟ
切换操作程序,qiē huàn cāo zuò chéng xù,Switching Procedure,ขั้นตอนการสับเปลี่ยนวงจรไฟฟ้า
三相四极插座,sān xiāng sì jí chā zuò,Three-Phase 4-Pin Socket,ปลั๊กไฟสามเฟส 4 ขา
三相短路,sān xiāng duǎn lù,Three-Phase Short Circuit,ไฟฟ้าลัดวงจรสามเฟส
变压器,biàn yā qì,Transformer,หม้อแปลงไฟฟ้า
不间断电源,bù jiàn duàn diàn yuán,Uninterruptible Power Supply (UPS),ระบบ UPS (Uninterruptible Power Supply)
不间断电源系统,bù jiān duàn diàn yuán xì tǒng,Uninterruptible Power Supply (UPS) System,ระบบ UPS (ไฟฟ้าสำรองต่อเนื่อง)
不间断电源系统 (UPS),bù jiàn duàn diàn yuán xì tǒng,UPS (Uninterruptible Power Supply),ระบบ UPS (Uninterruptible Power Supply)
UPS续航时间,UPS xù háng shí jiān,UPS Runtime,ระยะเวลาที่ UPS จ่ายไฟสำรองได้
市电/公用电网,shì diàn / gōng yòng diàn wǎng,Utility,ไฟฟ้าจากการไฟฟ้า (utility power)
市电,shì diàn,Utility Power / Mains Power,ไฟฟ้าจากการไฟฟ้า (mains power)
电压等级,diàn yā děng jí,Voltage Rating / Class,ระดับแรงดันไฟฟ้า
工作接地,gōng zuò jiē dì,Working Ground / System Grounding,การต่อกราวด์ระบบไฟฟ้า
空调,kōng tiáo,Air Conditioner / HVAC Unit,เครื่องปรับอากาศ
空调安全,kōng tiáo ān quán,Air Conditioning (HVAC) Safety,ความปลอดภัยเกี่ยวกับระบบแอร์ (air conditioning)
空调或制冷设备,kōng tiáo huò zhì lěng shè bèi,Air Conditioning or Refrigeration Equipment,อุปกรณ์ปรับอากาศหรือทำความเย็น
空调系统,kōng tiáo xì tǒng,Air Conditioning System,ระบบปรับอากาศ
气流分配,qì liú fēn pèi,Air Distribution,การกระจายลม (air distribution)
风管,fēng guǎn,Air Duct,ท่อลม
空气过滤器,kōng qì guò lǜ qì,Air Filter,แผ่นกรองอากาศ
气流混合,qì liú hùn hé,Air Mixing,การผสมของกระแสลม
风冷冷水系统,fēng lěng lěng shuǐ xì tǒng,Air-Cooled Chilled Water System,ระบบน้ำเย็นระบายความร้อนด้วยอากาศ
风冷冷水主机,fēng lěng lěng shuǐ zhǔ jī,Air-Cooled Chiller,เครื่องทำน้ำเย็นระบายความร้อนด้วยอากาศ
风冷冷风系统,fēng lěng lěng fēng xì tǒng,Air-Cooled Direct Expansion System,ระบบ DX ระบายความร้อนด้วยอากาศ
风,fēng,Air/Wind (Cooling),ลม (สำหรับการระบายความร้อน)
气流,qì liú,Airflow,การไหลเวียนของอากาศ (airflow)
机柜级气流控制,jī guì jí qì liú kòng zhì,Airflow Control at the Rack,การควบคุมกระแสลมระดับตู้ rack
辅助设备,fǔ zhù shè bèi,Ancillary Equipment,อุปกรณ์เสริม (ancillary equipment)
盲板,máng bǎn,Blanking Panels,แผ่นปิดช่องว่างตู้ rack (blanking panel)
计算流体动力学,jì suàn liú tǐ dòng lì xué,CFD (Computational Fluid Dynamics),การจำลอง CFD เพื่อดูการไหลเวียนของอากาศ
冷冻水型空调,lěng dòng shuǐ xíng kōng tiáo,Chilled Water Air Conditioner (CRAH),เครื่องปรับอากาศระบบน้ำเย็น (CRAH)
冷冻水供水温度,lěng dòng shuǐ gōng shuǐ wēn dù,Chilled Water Supply Temperature,อุณหภูมิน้ำเย็นขาเข้า
冷水系统,lěng shuǐ xì tǒng,Chilled Water System,ระบบน้ำเย็น (chilled water)
冷水机,lěng shuǐ jī,Chiller,เครื่องทำน้ำเย็น (chiller)
冷水机组,lěng shuǐ jī zǔ,Chillers,เครื่องทำน้ำเย็น (chiller)
封闭冷通道,fēng bì lěng tōng dào,Cold Aisle Containment,การปิดล้อมช่องทางเดินเย็น (cold aisle containment)
压缩机,yā suō jī,Compressor,คอมเพรสเซอร์
机房空调 (CRAC),jī fáng kōng tiáo,Computer Room Air Conditioners (CRAC),เครื่องปรับอากาศห้องคอมพิวเตอร์ (CRAC)
CRAH（精密空调）,CRAH (jīng mì kōng tiáo),Computer Room Air Handler (CRAH),เครื่องปรับอากาศแบบ CRAH
冷凝器,lěng níng qì,Condenser,คอนเดนเซอร์ (เครื่องควบแน่น)
连管,lián guǎn,Connecting Pipe / Tube,ท่อเชื่อมต่อ
连接器接口,lián jiē qì jiē kǒu,Connector Interface,จุดเชื่อมต่ออุปกรณ์ (connector interface)
承包商供应部件,chéng bāo shāng gōng yìng bù jiàn,Contractor-Sourced Component,ชิ้นส่วนที่จัดหาโดยผู้รับเหมา
制冷,zhì lěng,Cooling,ระบบทำความเย็น (cooling)
冷却气流系统,lěng què qì liú xì tǒng,Cooling Airflow System,ระบบการไหลเวียนอากาศเย็น
制冷容量,zhì lěng róng liàng,Cooling Capacity,ความสามารถในการทำความเย็น
冷量分配,lěng liàng fēn pèi,Cooling Capacity Distribution,การกระจายความเย็น
制冷挑战,zhì lěng tiǎo zhàn,Cooling Challenges,ความท้าทายด้านการทำความเย็น
制冷效率,zhì lěng xiào lǜ,Cooling Efficiency,ประสิทธิภาพการทำความเย็น
制冷基础设施,zhì lěng jī chǔ shè shī,Cooling Infrastructure,โครงสร้างพื้นฐานด้านความเย็น
冷源系统,lěng yuán xì tǒng,Cooling Source System / Chiller Plant,ระบบแหล่งความเย็น (chiller plant)
制冷子系统,zhì lěng zǐ xì tǒng,Cooling Subsystem,ระบบย่อยด้านการทำความเย็น
制冷系统,zhì lěng xì tǒng,Cooling System,ระบบทำความเย็น (cooling system)
冷却塔,lěng què tǎ,Cooling Tower,หอผึ่งเย็น (cooling tower)
水塔回,shuǐ tǎ huí,Cooling Tower Return,น้ำกลับจากหอผึ่งเย็น
机房空调（精密空调）,jī fáng kōng tiáo (jīng mì kōng tiáo),CRAC Unit (Computer Room Air Conditioner),เครื่องปรับอากาศห้องเซิร์ฟเวอร์ (CRAC)
需求对抗（多台空调互相竞争）,xū qiú duì kàng,Demand Fighting,การแย่งกันทำงานของเครื่องปรับอากาศหลายตัว (demand fighting)
直接蒸发冷却,zhí jiē zhēng fā lěng què,Direct Evaporative Cooling,การทำความเย็นแบบระเหยโดยตรง
冷风系统,lěng fēng xì tǒng,Direct Expansion (DX) Cooling System,ระบบทำความเย็นแบบ direct expansion
直通风方案,zhí tōng fēng fāng àn,Direct Fresh Air (Ventilation) Solution,ระบบระบายอากาศแบบ fresh air โดยตรง
直接水冷,zhí jiē shuǐ lěng,Direct Water Cooling,ระบบระบายความร้อนด้วยน้ำโดยตรง
电加热,diàn jiā rè,Electric Heater,เครื่องทำความร้อนไฟฟ้า
环境试验箱,huán jìng shì yàn xiāng,Environmental Chamber,ตู้ทดสอบสภาพแวดล้อม
蒸发器,zhēng fā qì,Evaporator,อีวาพอเรเตอร์ (เครื่องระเหย)
排风/回风,pái fēng / huí fēng,Exhaust Air,ลมร้อนที่ระบายออก (exhaust air)
膨胀阀,péng zhàng fá,Expansion Valve,วาล์วขยายตัว
风机,fēng jī,Fan,พัดลม (fan)
干燥过滤器,gān zào guò lǜ qì,Filter Drier,ตัวกรองความชื้น (filter drier)
自然冷却类型,zì rán lěng què lèi xíng,Free Cooling Types,ประเภทของระบบ free cooling
热交换器,rè jiāo huàn qì,Heat Exchangers,เครื่องแลกเปลี่ยนความร้อน (heat exchanger)
转轮自然冷却方案,zhuàn lún zì rán lěng què fāng àn,Heat Wheel Free Cooling Solution,ระบบ free cooling แบบ heat wheel
高压气体喷射,gāo yā qì tǐ pēn shè,High-Pressure Gas Jetting,การพ่นแก๊สแรงดันสูง
水平送风,shuǐ píng sòng fēng,Horizontal Air Supply,การจ่ายลมแนวนอน
冷热气流隔离,lěng rè qì liú gé lí,Hot Air / Cold Air Separation,การแยกลมร้อน-ลมเย็น (hot aisle / cold aisle)
封闭热通道,fēng bì rè tōng dào,Hot Aisle Containment,การปิดล้อมช่องทางเดินร้อน (hot aisle containment)
热排风,rè pái fēng,Hot Exhaust Air,ลมร้อนที่ระบายออกจากอุปกรณ์
热点,rè diǎn,Hot Spot,จุดที่มีอุณหภูมิสูงผิดปกติ (hot spot)
湿度控制,shī dù kòng zhì,Humidity Control,การควบคุมความชื้น
湿度监测,shī dù jiān cè,Humidity Monitoring,การตรวจวัดความชื้น
浸没式液冷系统,jìn mò shì yè lěng xì tǒng,Immersion Liquid Cooling System,ระบบทำความเย็นแบบแช่ในของเหลว (immersion cooling)
间接蒸发冷却,jiàn jiē zhēng fā lěng què,Indirect Evaporative Cooling,การทำความเย็นแบบระเหยทางอ้อม
液体源最小化,yè tǐ yuán zuì xiǎo huà,Liquid Source Minimization,การลดแหล่งของเหลวให้น้อยที่สุด
人工冷源,rén gōng lěng yuán,Mechanical Cooling Source,แหล่งความเย็นแบบกลไก (mechanical cooling)
轻微泄露,qīng wēi xiè lòu,Minor Leak,การรั่วไหลเล็กน้อย
消声器,xiāo shēng qì,Muffler / Silencer,ตัวลดเสียง (silencer)
针阀,zhēn fá,Needle Valve,วาล์วเข็ม (needle valve)
针阀阀芯,zhēn fá fá xīn,Needle Valve Core,แกนวาล์วเข็ม (needle valve core)
管路,guǎn lù,Piping,ระบบท่อ (piping)
管路系统,guǎn lù xì tǒng,Piping System,ระบบท่อ
板式换热器,bǎn shì huàn rè qì,Plate Heat Exchanger,เครื่องแลกเปลี่ยนความร้อนแบบแผ่น
静压箱/送风腔,jìng yā xiāng / sòng fēng qiāng,Plenum,ช่องส่งลมเย็น (plenum)
精密空调,jīng mì kōng tiáo,Precision Air Conditioner (CRAC),เครื่องปรับอากาศแบบแม่นยำ (CRAC)
泵,bèng,Pump,ปั๊ม
水泵机组,shuǐ bèng jī zǔ,Pump Packages,ชุดปั๊มน้ำ (pump package)
R410A制冷剂,R sì yī líng A zhì lěng jì,R410A Refrigerant,สารทำความเย็น R410A
机柜级空调系统,jī guì jí kōng tiáo xì tǒng,Rack-Level (In-Rack) Cooling System,ระบบทำความเย็นแบบ in-rack
机架级配电/配冷装置,jī jià jí pèi diàn / pèi lěng zhuāng zhì,Rack-Level Distribution Devices,อุปกรณ์กระจายไฟ/ความเย็นระดับตู้ rack
地板等送风系统,dì bǎn děng sòng fēng xì tǒng,Raised Floor Air Supply System,ระบบจ่ายลมใต้พื้นยก
补焊,bǔ hàn,Re-Welding / Patch Welding,การเชื่อมซ่อม
制冷剂,zhì lěng jì,Refrigerant,สารทำความเย็น
制冷剂冻伤,zhì lěng jì dòng shāng,Refrigerant Frostbite,แผลจากสารทำความเย็นแช่แข็ง
制冷剂泄露处理办法,zhì lěng jì xiè lòu chǔ lǐ bàn fǎ,Refrigerant Leak Response Procedure,ขั้นตอนการรับมือเมื่อสารทำความเย็นรั่ว
制冷剂泄露类型,zhì lěng jì xiè lòu lèi xíng,Refrigerant Leak Type,ประเภทของการรั่วไหลของสารทำความเย็น
制冷剂管路,zhì lěng jì guǎn lù,Refrigerant Piping,ท่อสารทำความเย็น
制冷剂系统,zhì lěng jì xì tǒng,Refrigerant System,ระบบสารทำความเย็น (refrigerant)
冷媒传递,lěng méi chuán dì,Refrigerant Transfer,การส่งผ่านสารทำความเย็น
制冷上岗操作证,zhì lěng shàng gǎng cāo zuò zhèng,Refrigeration Job Operation Permit,ใบอนุญาตปฏิบัติงานด้านการทำความเย็น
制冷工证,zhì lěng gōng zhèng,Refrigeration Technician Certificate,ใบรับรองช่างทำความเย็น
改造/加装,gǎi zào / jiā zhuāng,Retrofit,การปรับปรุงระบบเดิม (retrofit)
回风温度,huí fēng wēn dù,Return Air Temperature,อุณหภูมิลมกลับ (return air)
回风系统,huí fēng xì tǒng,Return Systems (Air Return),ระบบลมกลับ (return air system)
房间级空调系统,fáng jiān jí kōng tiáo xì tǒng,Room-Based (Room-Level) Cooling System,ระบบทำความเย็นระดับห้อง
行级空调系统,háng jí kōng tiáo xì tǒng,Row-Based (In-Row) Cooling System,ระบบทำความเย็นแบบ in-row
安全口爆开,ān quán kǒu bào kāi,Safety Valve Rupture,วาล์วนิรภัยแตกระเบิด
严重泄露,yán zhòng xiè lòu,Severe / Major Leak,การรั่วไหลรุนแรง
液视镜,yè shì jìng,Sight Glass,กระจกมองระดับน้ำยา (sight glass)
电磁阀,diàn cí fá,Solenoid Valve,วาล์วโซลินอยด์
负压/亚大气压,fù yā / yà dà qì yā,Sub-atmospheric Pressure,ความดันต่ำกว่าบรรยากาศ (negative pressure)
送风,sòng fēng,Supply Air,ลมเย็นที่จ่ายเข้าไป (supply air)
温控系统,wēn kòng xì tǒng,Temperature Control System,ระบบควบคุมอุณหภูมิ
温度监控,wēn dù jiān kòng,Temperature Monitoring,การตรวจสอบอุณหภูมิ
末端气流组织系统,mò duān qì liú zǔ zhī xì tǒng,Terminal Airflow Organization System,ระบบจัดการทิศทางลมปลายทาง
热负荷,rè fù hè,Thermal Load,ภาระความร้อน (thermal load)
上送风,shàng sòng fēng,Top (Overhead) Air Supply,การจ่ายลมจากด้านบน
上送下回风,shàng sòng xià huí fēng,"Top Supply, Bottom Return Air",จ่ายลมบน กลับลมล่าง
上送上回风,shàng sòng shàng huí fēng,"Top Supply, Top Return Air",จ่ายลมบน กลับลมบน
制冷总量,zhì lěng zǒng liàng,Total Cooling Capacity,ความสามารถทำความเย็นรวม
地板下送风,dì bǎn xià sòng fēng,Under-Floor Air Supply,การจ่ายลมใต้พื้น
通风面积,tōng fēng miàn jī,Ventilation Area,พื้นที่ระบายอากาศ
垂直温度梯度,chuí zhí wēn dù tī dù,Vertical Temperature Gradient,การไล่ระดับอุณหภูมิในแนวดิ่ง
水,shuǐ,Water,น้ำที่ใช้ในระบบ (water)
水塔,shuǐ tǎ,Water Tower / Tank,ถังน้ำ/หอน้ำ
水冷冷水系统,shuǐ lěng lěng shuǐ xì tǒng,Water-Cooled Chilled Water System,ระบบน้ำเย็นระบายความร้อนด้วยน้ำ
水冷冷风系统,shuǐ lěng lěng fēng xì tǒng,Water-Cooled Direct Expansion System,ระบบ DX ระบายความร้อนด้วยน้ำ
水冷IT设备,shuǐ lěng IT shè bèi,Water-Cooled IT Equipment,อุปกรณ์ IT ระบายความร้อนด้วยน้ำ
水冷系统,shuǐ lěng xì tǒng,Water-Cooled System,ระบบระบายความร้อนด้วยน้ำ
水侧自然冷却方案,shuǐ cè zì rán lěng què fāng àn,Waterside Free Cooling Solution,ระบบ free cooling ฝั่งน้ำ (waterside)
19英寸机柜,shí jiǔ yīng cùn jī guì,19-Inch Enclosure,ตู้ rack ขนาด 19 นิ้ว
42U机柜,sì shí èr U jī guì,42U Rack,ตู้ rack ขนาด 42U
可调安装导轨,kě tiáo ān zhuāng dǎo guǐ,Adjustable Mounting Rail,รางติดตั้งแบบปรับได้
机柜,jī guì,Cabinet / Rack,ตู้ rack
机柜使用率（Cabinet Usage）,jī guì shǐ yòng lǜ,Cabinet Usage Rate,อัตราการใช้งานตู้ rack
脚轮,jiǎo lún,Castor (Caster),ล้อเลื่อนตู้ rack (castor)
土建电气,tǔ jiàn diàn qì,Civil and Electrical Works,งานโยธาและงานไฟฟ้า
混凝土楼板,hùn níng tǔ lóu bǎn,Concrete Slab Floor,พื้นคอนกรีต (concrete slab floor)
吊顶,diào dǐng,Dropped Ceiling,ฝ้าเพดานแบบแขวน (dropped ceiling)
EIA 310标准,EIA 310 biāo zhǔn,EIA 310,มาตรฐาน EIA 310
EIA 310-D标准,EIA sān yāo líng D biāo zhǔn,EIA 310-D Standard,มาตรฐาน EIA 310-D สำหรับตู้ rack
电子工业联盟,diàn zǐ gōng yè lián méng,Electronic Industries Alliance (EIA),สมาคมอุตสาหกรรมอิเล็กทรอนิกส์ (EIA)
可现场翻转门,kě xiàn chǎng fān zhuǎn mén,Field Reversible Door,ประตูตู้ rack ที่สลับด้านได้หน้างาน
高密度,gāo mì dù,High Density,ความหนาแน่นสูง (high density)
高密度机柜,gāo mì dù jī guì,High Density Rack,ตู้ rack ความหนาแน่นสูง
IEC 297-3标准,IEC 297-3 biāo zhǔn,IEC 297-3,มาตรฐาน IEC 297-3
内部装修,nèi bù zhuāng xiū,Interior Finishing/Fit-out,งานตกแต่งภายใน (fit-out)
